ID,sum_rain,sum_snow
2480,89.63999999999999,0.66
2486,131.83,1.32
2493,31.64,0.0
2502,21.09,0.66
2506,26.37,0.0
2513,94.91999999999999,1.32
2518,42.18,0.0
2528,68.55,2.64
2539,79.10000000000001,1.32
2546,26.37,0.0
2550,21.09,0.0
2560,26.36,0.0
2563,26.37,0.0
2570,42.18,0.0
2576,42.18,0.0
2588,147.66,0.66
2595,369.51000000000005,0.05
2601,63.28,1.98
2604,36.91,0.66
2611,42.18,0.0
2612,63.269999999999996,0.0
2626,26.37,0.0
2627,100.19,1.98
2628,26.37,0.0
2632,369.51000000000005,0.05
2639,79.1,0.0
2642,31.64,0.0
2646,73.82,0.66
2657,105.47,0.66
2674,152.93,3.3000000000000003
2679,31.64,0.0
2682,42.19,0.0
2686,184.56,7.26
2688,31.64,0.0
2690,63.28,0.0
2700,195.12,1.98
2703,31.64,0.0
2705,31.64,0.0
2709,42.19,0.0
2715,10.54,0.0
2730,0.0,0.0
2735,42.18,0.0
2753,31.64,0.0
2757,147.66,0.66
2759,369.51000000000005,0.05
2762,10.54,0.0
2772,205.66,4.62
2773,31.64,0.0
2776,105.47,0.0
2783,79.1,0.0
2790,0.0,0.0
2796,68.55,0.0
2807,15.82,0.66
2815,42.18,0.0
2854,47.46,0.0
2856,68.55000000000001,0.0
2857,89.63999999999999,1.98
2860,131.83,1.32
2861,89.63999999999999,0.66
2868,158.2,1.32
2875,105.47,0.66
2891,26.37,0.0
2892,15.82,0.66
2898,52.72,2.64
2899,42.18,0.0
2903,21.09,0.66
2905,110.74,0.66
2910,31.64,0.0
2911,47.459999999999994,0.0
2912,21.09,0.0
2913,94.91999999999999,1.32
2915,100.19999999999999,0.0
2916,15.82,0.0
2924,58.010000000000005,1.98
2928,21.09,0.0
2931,0.0,0.0
2935,52.73,0.0
2948,42.18,0.0
2952,100.19,0.66
2954,94.92,1.32
2963,5.27,0.0
2965,116.01999999999998,2.64
