DiscoveryAcres,total_acres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,landcover_class
1.2,2.4,30.23,37.8,12.39,1.39,1.61,2.59,2.43,3.27,0.43,0.48,47
0.1,0.2,7.72,17.54,2.32,0.0,1.88,4.2,3.04,6.29,0.49,0.51,498
0.1,0.2,19.66,30.57,5.92,0.0,0.62,0.95,2.84,4.04,0.45,0.55,158
0.5,1.0,20.83,30.28,4.7,0.0,2.16,4.5,3.23,6.04,0.23,0.47,182
0.1,0.2,26.42,36.13,6.16,0.9,1.06,1.88,1.7,3.42,0.15,0.37,489
0.1,0.2,8.86,20.05,2.38,0.0,3.45,5.68,5.32,7.66,0.29,0.36,491
1.0,12.5,17.51,27.83,2.62,0.0,1.48,2.7,2.73,4.41,0.22,0.39,158
0.1,0.2,11.91,22.49,2.99,0.0,1.86,3.99,2.9,5.75,0.08,0.33,484
0.1,0.2,10.18,16.95,6.1,4.41,2.36,5.41,3.52,7.51,0.62,0.6,460
0.1,0.2,21.03,30.61,4.88,0.0,0.44,1.12,2.45,3.42,0.47,0.5,316
0.1,0.2,22.74,30.1,8.85,3.49,0.84,1.56,2.1,3.52,0.43,0.47,163
0.1,0.2,21.76,30.68,3.6,0.0,2.16,3.86,3.82,6.14,0.2,0.34,158
0.1,1.4500000000000002,22.83,30.29,7.93,3.38,1.16,2.08,2.36,3.76,0.35,0.41,557
0.1,0.2,9.2,15.55,4.58,0.01,1.5,2.16,2.55,2.91,0.44,0.45,582
1.0,2.0,8.54,19.15,2.69,0.0,2.14,4.13,3.73,5.73,0.16,0.34,186
0.1,0.2,21.77,28.79,9.16,2.73,1.09,1.96,2.11,3.84,0.29,0.34,158
0.1,0.2,20.67,29.35,4.52,0.0,0.7,1.29,2.35,3.42,0.44,0.48,187
0.1,0.2,13.05,22.91,4.21,0.01,0.42,1.03,2.84,3.53,0.34,0.36,489
0.1,0.2,18.39,24.25,7.93,0.02,3.92,5.58,5.51,7.31,0.32,0.38,489
