sum_rain,sum_snow,DiscoveryAcres,total_acres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,landcover_class
116.00999999999998,0.0,1.0,4577.0,14.83,24.69,4.27,8.16,4.4,7.1,6.45,9.75,0.27,0.44,556
121.3,3.3000000000000003,0.1,349.3,16.82,25.03,3.91,0.0,1.59,3.04,2.28,3.84,0.36,0.38,316
105.45999999999998,1.32,0.1,14.7,22.65,29.4,7.69,1.35,1.36,2.0,2.18,2.94,0.21,0.38,186
163.46,0.66,0.1,3.1,21.3,28.8,5.49,0.01,2.3,4.06,4.12,6.45,0.34,0.49,158
152.92000000000002,9.24,0.1,42.1,14.76,22.34,4.76,0.33,2.6,4.7,4.71,7.9,0.38,0.41,148
68.55,0.66,12721.0,25442.0,30.33,38.54,3.66,0.0,1.98,3.78,2.79,4.7,0.08,0.33,489
79.1,1.32,0.1,6882.1,23.96,34.62,2.93,0.0,1.88,4.22,3.22,6.66,0.13,0.37,489
147.65,3.96,1.0,2.2,19.87,29.85,3.54,0.0,1.7,3.93,3.04,6.58,0.34,0.4,361
200.39000000000004,0.66,1.0,4.0,7.15,16.16,3.05,0.0,1.83,2.85,2.95,3.57,0.45,0.47,571
189.85,0.0,2.0,7.4,33.85,42.98,5.43,0.0,2.54,5.15,3.66,6.97,0.12,0.37,556
332.22,0.66,1.0,2.3,18.75,28.87,5.74,0.0,0.88,1.52,2.72,4.42,0.52,0.56,474
116.01,3.3,0.1,588.1,24.13,33.46,8.3,0.09,2.95,5.63,4.11,7.84,0.34,0.48,489
21.09,0.0,37.0,74.0,11.79,19.55,3.23,0.0,1.67,3.47,2.7,4.71,0.3,0.44,474
121.28,0.0,0.1,9539.1,31.27,39.73,9.58,0.78,2.43,4.5,3.45,6.2,0.19,0.43,474
268.94,0.0,0.1,1.7000000000000002,19.68,26.99,2.93,0.0,1.76,3.85,2.42,4.88,0.34,0.45,474
31.63,0.0,1.0,17.5,10.63,20.05,2.75,0.0,1.91,3.55,3.01,4.7,0.38,0.47,460
110.73,3.96,0.1,4.5,13.51,23.85,2.81,0.0,1.96,3.07,3.15,3.84,0.46,0.51,489
384.96,4.62,0.1,2.4,25.65,34.17,5.07,0.0,0.3,0.92,1.69,2.51,0.23,0.45,44
47.46,1.32,0.1,1.4,2.41,8.06,2.75,0.0,2.34,4.16,5.25,8.54,0.22,0.45,148
126.55,3.96,3.0,19.25,11.62,20.19,2.93,0.0,2.47,4.54,4.61,7.62,0.33,0.36,189
564.26,6.6000000000000005,0.1,15.1,19.96,29.15,8.3,0.0,0.08,0.5,1.78,2.48,0.57,0.58,579
210.93,0.0,0.5,2.5,30.22,39.27,4.27,0.0,2.32,4.58,3.52,5.98,0.23,0.43,474
274.21,1.98,0.1,1.6,14.9,24.48,2.99,0.0,1.66,2.7,3.45,4.84,0.43,0.52,158
200.39,0.0,20.0,107.0,21.89,29.76,5.07,0.0,4.56,8.29,6.65,11.21,0.34,0.4,472
31.63,0.0,0.1,101.1,22.9,34.06,3.05,0.0,1.73,3.09,2.77,4.19,0.12,0.46,460
